time,open,high,low,close,tick_volume,spread,real_volume
2026-01-27 07:31:00,5063.62,5070.45,5063.62,5070.45,945,12,0
2026-01-27 07:32:00,5070.45,5070.8,5068.06,5068.19,883,12,0
2026-01-27 07:33:00,5068.19,5069.76,5067.91,5069.33,571,12,0
2026-01-27 07:34:00,5069.33,5072.47,5069.3,5072.08,665,12,0
2026-01-27 07:35:00,5072.08,5072.51,5070.95,5071.47,527,12,0
2026-01-27 07:36:00,5071.47,5071.75,5069.45,5071.21,591,12,0
2026-01-27 07:37:00,5071.21,5071.21,5069.36,5069.82,452,12,0
2026-01-27 07:38:00,5069.82,5072.13,5069.8,5071.71,526,14,0
2026-01-27 07:39:00,5071.71,5071.71,5070.25,5070.43,395,15,0
2026-01-27 07:40:00,5070.43,5072.4,5068.9,5072.02,730,12,0
2026-01-27 07:41:00,5072.02,5072.34,5070.22,5070.61,584,12,0
2026-01-27 07:42:00,5070.61,5072.67,5070.46,5071.43,561,12,0
2026-01-27 07:43:00,5071.43,5073.72,5071.4,5072.9,668,12,0
2026-01-27 07:44:00,5072.93,5074.62,5072.91,5074.51,629,12,0
2026-01-27 07:45:00,5074.51,5077.68,5074.51,5077.64,612,12,0
2026-01-27 07:46:00,5077.61,5077.71,5076.57,5077.33,352,12,0
2026-01-27 07:47:00,5077.32,5081.59,5077.18,5080.54,816,12,0
2026-01-27 07:48:00,5080.54,5081.83,5079.17,5081.69,597,17,0
2026-01-27 07:49:00,5081.69,5082.19,5079.92,5079.98,525,12,0
2026-01-27 07:50:00,5079.92,5084.25,5079.78,5083.71,605,14,0
2026-01-27 07:51:00,5083.71,5085.23,5082.56,5083.1,613,12,0
2026-01-27 07:52:00,5083.03,5083.03,5080.83,5080.9,607,12,0
2026-01-27 07:53:00,5080.9,5082.23,5080.06,5080.1,428,13,0
2026-01-27 07:54:00,5080.08,5080.67,5078.36,5079.02,430,16,0
2026-01-27 07:55:00,5079.02,5080.05,5078.61,5079.59,497,13,0
2026-01-27 07:56:00,5079.59,5082.93,5079.56,5081.95,594,12,0
2026-01-27 07:57:00,5081.95,5082.96,5081.33,5082.92,519,16,0
2026-01-27 07:58:00,5082.91,5083.91,5082.27,5083.08,630,12,0
2026-01-27 07:59:00,5083.05,5083.91,5082.34,5083.03,598,12,0
2026-01-27 08:00:00,5083.03,5084.69,5082.39,5084.68,548,14,0
2026-01-27 08:01:00,5084.66,5086.55,5084.66,5085.77,490,12,0
2026-01-27 08:02:00,5085.78,5085.79,5082.92,5084.61,475,12,0
2026-01-27 08:03:00,5084.61,5086.84,5084.61,5086.42,499,15,0
2026-01-27 08:04:00,5086.42,5086.89,5083.7,5083.7,422,12,0
2026-01-27 08:05:00,5083.7,5085.94,5083.21,5085.66,424,12,0
2026-01-27 08:06:00,5085.68,5085.77,5082.89,5083.06,452,14,0
2026-01-27 08:07:00,5083.06,5083.2,5080.88,5081.72,660,12,0
2026-01-27 08:08:00,5081.72,5081.76,5079.72,5081.26,866,14,0
2026-01-27 08:09:00,5081.26,5082.51,5081.16,5082.1,855,16,0
2026-01-27 08:10:00,5082.12,5082.24,5079.58,5079.71,653,12,0
2026-01-27 08:11:00,5079.63,5079.89,5077.95,5078.85,637,13,0
2026-01-27 08:12:00,5078.85,5079.8,5076.7,5077.43,603,12,0
2026-01-27 08:13:00,5077.42,5082.31,5076.63,5082.29,646,12,0
2026-01-27 08:14:00,5082.29,5084.17,5081.57,5083.28,678,14,0
2026-01-27 08:15:00,5083.28,5083.44,5081.68,5082.39,489,14,0
2026-01-27 08:16:00,5082.41,5082.71,5080.95,5082.57,427,12,0
2026-01-27 08:17:00,5082.57,5083.05,5080.88,5081.32,432,12,0
2026-01-27 08:18:00,5081.3,5082.3,5080.76,5081.33,321,17,0
2026-01-27 08:19:00,5081.32,5081.81,5080.79,5081.39,305,13,0
2026-01-27 08:20:00,5081.38,5082.14,5079.7,5079.75,322,17,0
2026-01-27 08:21:00,5079.75,5084.32,5079.74,5084.13,408,17,0
2026-01-27 08:22:00,5084.13,5085.8,5083.97,5085.61,335,12,0
2026-01-27 08:23:00,5085.61,5086.29,5083.86,5085.03,517,13,0
2026-01-27 08:24:00,5085.03,5087.74,5085.03,5087.4,350,12,0
2026-01-27 08:25:00,5087.4,5087.6,5085.34,5085.34,376,15,0
2026-01-27 08:26:00,5085.28,5085.3,5082.4,5082.43,316,13,0
2026-01-27 08:27:00,5082.43,5084.6,5082.43,5084.05,341,12,0
2026-01-27 08:28:00,5084.05,5084.6,5082.6,5083.6,478,12,0
2026-01-27 08:29:00,5083.61,5083.83,5082.23,5082.27,386,18,0
2026-01-27 08:30:00,5082.27,5082.53,5079.7,5080.08,572,12,0
2026-01-27 08:31:00,5080.08,5082.99,5078.97,5082.07,658,12,0
2026-01-27 08:32:00,5082.07,5082.56,5081.03,5081.36,380,14,0
2026-01-27 08:33:00,5081.36,5084.17,5081.1,5083.93,452,12,0
2026-01-27 08:34:00,5083.93,5084.28,5082.08,5082.32,398,14,0
2026-01-27 08:35:00,5082.32,5083.69,5081.79,5083.35,381,12,0
2026-01-27 08:36:00,5083.35,5084.95,5082.66,5084.76,373,12,0
